300.00	0.00
305.00	0.00
310.00	-0.01
315.00	-0.01
320.00	0.00
325.00	0.00
330.00	-0.01
335.00	-0.01
340.00	-0.01
345.00	-0.01
350.00	-0.01
355.00	0.00
360.00	-0.01
365.00	0.00
370.00	0.00
375.00	0.00
380.00	0.00
385.00	0.00
390.00	0.00
395.00	0.00
400.00	0.02
405.00	0.07
410.00	0.46
415.00	3.34
420.00	28.85
425.00	85.54
430.00	92.29
435.00	96.82
440.00	97.95
445.00	97.28
450.00	97.36
455.00	97.86
460.00	98.27
465.00	98.32
470.00	98.20
475.00	98.25
480.00	98.27
485.00	98.24
490.00	98.24
495.00	98.23
500.00	98.37
505.00	98.45
510.00	98.39
515.00	98.41
520.00	98.28
525.00	98.03
530.00	97.95
535.00	98.00
540.00	98.18
545.00	98.69
550.00	98.73
555.00	98.63
560.00	98.68
565.00	98.67
570.00	98.25
575.00	97.81
580.00	97.26
585.00	96.99
590.00	96.93
595.00	97.14
600.00	97.35
605.00	97.75
610.00	98.10
615.00	98.54
620.00	98.52
625.00	98.54
630.00	98.41
635.00	98.06
640.00	97.39
645.00	96.89
650.00	96.32
655.00	95.75
660.00	95.34
665.00	95.01
670.00	94.93
675.00	94.92
680.00	95.05
685.00	95.28
690.00	95.62
695.00	96.00
700.00	96.23
705.00	96.38
710.00	96.42
715.00	96.28
720.00	96.00
725.00	95.70
730.00	95.02
735.00	94.38
740.00	93.63
745.00	92.78
750.00	91.94
755.00	91.33
760.00	90.54
765.00	89.92
770.00	89.56
775.00	89.06
780.00	88.71
785.00	88.61
790.00	88.43
795.00	88.43
800.00	88.51
