300.00	0.00
310.00	0.00
320.00	0.00
330.00	0.00
340.00	0.00
350.00	0.00
360.00	0.02
370.00	0.79
380.00	26.12
390.00	76.78
400.00	88.03
410.00	86.93
420.00	90.80
430.00	90.09
440.00	88.03
450.00	92.83
460.00	89.84
470.00	90.71
480.00	94.11
490.00	87.70
500.00	94.00
510.00	93.61
520.00	93.57
530.00	93.33
540.00	91.49
550.00	93.89
560.00	92.66
570.00	93.42
580.00	93.01
590.00	93.64
600.00	92.60
610.00	89.96
620.00	88.94
630.00	80.66
640.00	54.40
650.00	23.17
660.00	9.03
670.00	4.89
680.00	3.21
690.00	1.51
700.00	0.65
710.00	0.38
720.00	0.33
730.00	0.39
740.00	0.35
750.00	0.17
760.00	0.09
770.00	0.06
780.00	0.06
790.00	0.10
800.00	0.26
810.00	0.33
820.00	0.09
830.00	0.07
840.00	0.05
850.00	-0.12
860.00	-0.03
870.00	-0.03
880.00	0.22
890.00	0.11
900.00	0.33
910.00	0.81
920.00	0.42
930.00	0.11
940.00	0.06
950.00	0.08
960.00	0.07
970.00	0.15
980.00	0.13
990.00	0.31
1000.00	0.45
1010.00	1.10
1020.00	1.97
1030.00	2.07
1040.00	1.61
1050.00	1.41
1060.00	1.34
1070.00	1.52
1080.00	1.95
1090.00	2.87
1100.00	4.72
1110.00	8.62
1120.00	17.03
1130.00	31.69
1140.00	43.23
1150.00	43.36
1160.00	41.31
1170.00	42.75
1180.00	48.90
1190.00	60.13
1200.00	74.88

